video,frame,time_s,motion_time_s,position_raw,position_smooth,position_monotonic,height_m,visible_moving_markers
closing,0,0.0,-2.25,1.003626844607144,1.0037807810867638,1.0,2.1,2
closing,1,0.016666666666666666,-2.2333333333333334,1.0036245266914228,1.0037997211346665,1.0,2.1,2
closing,2,0.03333333333333333,-2.216666666666667,1.0038186611825695,1.0038186611825695,1.0,2.1,2
closing,3,0.05,-2.2,1.0036795906735838,1.0038065195120538,1.0,2.1,2
closing,4,0.06666666666666667,-2.183333333333333,1.0037807810867638,1.0037943778415384,1.0,2.1,2
closing,5,0.08333333333333334,-2.1666666666666665,1.0038773329263637,1.003792719315343,1.0,2.1,2
closing,6,0.1,-2.15,1.004114313154921,1.003791060789148,1.0,2.1,2
closing,7,0.11666666666666667,-2.1333333333333333,1.0040848744079538,1.003791060789148,1.0,2.1,2
closing,8,0.13333333333333333,-2.1166666666666667,1.0042472823227921,1.003791060789148,1.0,2.1,2
closing,9,0.15000000000000002,-2.1,1.0037943778415384,1.0037807810867638,1.0,2.1,2
closing,10,0.16666666666666669,-2.0833333333333335,1.0037345753682942,1.0037820649107259,1.0,2.1,2
closing,11,0.18333333333333335,-2.0666666666666664,1.003791060789148,1.003791060789148,1.0,2.1,2
closing,12,0.2,-2.05,1.00364970556966,1.003791060789148,1.0,2.1,2
closing,13,0.21666666666666667,-2.033333333333333,1.0036950109065694,1.003791060789148,1.0,2.1,2
closing,14,0.23333333333333334,-2.0166666666666666,1.0037342498891912,1.0037834425511187,1.0,2.1,2
closing,15,0.25,-2.0,1.0037785786463904,1.0037820649107259,1.0,2.1,2
closing,16,0.26666666666666666,-1.9833333333333334,1.0037820649107259,1.0037785786463904,1.0,2.1,2
closing,17,0.2833333333333333,-1.9666666666666668,1.0039230949936488,1.0037785786463904,1.0,2.1,2
closing,18,0.30000000000000004,-1.95,1.0039341813835452,1.0037342498891912,1.0,2.1,2
closing,19,0.3166666666666667,-1.9333333333333333,1.003836206443538,1.0037342498891912,1.0,2.1,2
closing,20,0.33333333333333337,-1.9166666666666665,1.0037834425511187,1.0037342498891912,1.0,2.1,2
closing,21,0.35000000000000003,-1.9,1.003389719128739,1.003635536865747,1.0,2.1,2
closing,22,0.3666666666666667,-1.8833333333333333,1.003393162706133,1.003602304752894,1.0,2.1,2
closing,23,0.38333333333333336,-1.8666666666666667,1.0034723347330372,1.0034723347330372,1.0,2.1,2
closing,24,0.4,-1.85,1.003303148693872,1.0033950268940162,1.0,2.1,2
closing,25,0.4166666666666667,-1.8333333333333333,1.003602304752894,1.003393162706133,1.0,2.1,2
closing,26,0.43333333333333335,-1.8166666666666667,1.003635536865747,1.003389719128739,1.0,2.1,2
closing,27,0.45,-1.8,1.0033950268940162,1.0033445586976941,1.0,2.1,2
closing,28,0.4666666666666667,-1.7833333333333332,1.0033445586976941,1.003303148693872,1.0,2.1,2
closing,29,0.48333333333333334,-1.7666666666666666,1.002996674487112,1.0032620413753022,1.0,2.1,2
