video,frame,time_s,motion_time_s,position_raw,position_smooth,position_monotonic,height_m,visible_moving_markers
opening,0,0.0,-3.0333333333333337,0.001070835933336082,0.0010235486590528154,0.0010235486590528154,0.0021494521840109125,2
opening,1,0.03333333333333333,-3.0000000000000004,0.0010235486590528154,0.0010199205967037276,0.0010235486590528154,0.0021494521840109125,2
opening,2,0.06666666666666667,-2.966666666666667,0.0006321030933675311,0.0010162925343546398,0.0010235486590528154,0.0021494521840109125,2
opening,3,0.1,-2.9333333333333336,0.001138209247552713,0.000974189236608238,0.0010235486590528154,0.0021494521840109125,2
opening,4,0.13333333333333333,-2.9000000000000004,0.001065416910291579,0.0010162925343546398,0.0010235486590528154,0.0021494521840109125,2
opening,5,0.16666666666666669,-2.866666666666667,0.0009320859388618362,0.000974189236608238,0.0010235486590528154,0.0021494521840109125,2
opening,6,0.2,-2.8333333333333335,0.0010162925343546398,0.0009320859388618362,0.0010235486590528154,0.0021494521840109125,2
opening,7,0.23333333333333334,-2.8000000000000003,0.0007659005907961842,0.0009292733299968137,0.0010235486590528154,0.0021494521840109125,2
opening,8,0.26666666666666666,-2.766666666666667,0.000926644267419939,0.0009292733299968137,0.0010235486590528154,0.0021494521840109125,2
opening,9,0.30000000000000004,-2.7333333333333334,0.0006872564104236315,0.0009292733299968137,0.0010235486590528154,0.0021494521840109125,2
opening,10,0.33333333333333337,-2.7,0.0010935563355527378,0.000926644267419939,0.0010235486590528154,0.0021494521840109125,2
opening,11,0.3666666666666667,-2.666666666666667,0.0007887580262200359,0.000926644267419939,0.0010235486590528154,0.0021494521840109125,2
opening,12,0.4,-2.6333333333333337,0.0007310438168724577,0.0007887580262200359,0.0010235486590528154,0.0021494521840109125,2
opening,13,0.43333333333333335,-2.6000000000000005,0.0009292733299968137,0.0007659005907961842,0.0010235486590528154,0.0021494521840109125,2
opening,14,0.4666666666666667,-2.566666666666667,0.0010241831028364118,0.0007310438168724577,0.0010235486590528154,0.0021494521840109125,2
opening,15,0.5,-2.5333333333333337,0.0005179184631325135,0.0006970394444360145,0.0010235486590528154,0.0021494521840109125,2
opening,16,0.5333333333333333,-2.5000000000000004,0.0006970394444360145,0.0006970394444360145,0.0010235486590528154,0.0021494521840109125,2
opening,17,0.5666666666666667,-2.466666666666667,0.0010230777062912454,0.000690404098447865,0.0010235486590528154,0.0021494521840109125,2
opening,18,0.6000000000000001,-2.4333333333333336,0.000690404098447865,0.0006120446197066124,0.0010235486590528154,0.0021494521840109125,2
opening,19,0.6333333333333334,-2.4000000000000004,0.0004428422936346995,0.0005179184631325135,0.0010235486590528154,0.0021494521840109125,2
opening,20,0.6666666666666667,-2.366666666666667,0.0006120446197066124,0.0005099117186762401,0.0010235486590528154,0.0021494521840109125,2
opening,21,0.7000000000000001,-2.3333333333333335,-5.1815884704611346e-05,0.0004428422936346995,0.0010235486590528154,0.0021494521840109125,2
opening,22,0.7333333333333334,-2.3000000000000003,0.0005099117186762401,0.0004016135821653674,0.0010235486590528154,0.0021494521840109125,2
opening,23,0.7666666666666667,-2.266666666666667,0.0004016135821653674,0.0003776805920560563,0.0010235486590528154,0.0021494521840109125,2
