run,label,class,target_percent,move_command_run_elapsed_s,stop_command_run_elapsed_s,stop_delay_after_move_command_s,start_position_percent,position_at_stop_command_percent,settled_position_percent,settled_minus_stop_position_pp,target_error_pp,settle_sample_delay_after_stop_s,quality
AUTO02,target_25_from_closed,opening_from_closed,25.0,39.42156658321619,44.93656658321619,5.515000000000001,0.0,32.10978964788481,33.25542015670941,1.1456305088246026,8.255420156709413,0.27620041709393206,usable
AUTO02,target_50_from_closed,opening_from_closed,50.0,58.34956658321619,66.3805665832162,8.031000000000006,0.2342616417852324,59.805586464448005,60.350590764014115,0.5450042995661093,10.350590764014115,0.11548808383196274,usable
AUTO02,target_75_from_closed,opening_from_closed,75.0,84.76456658321618,94.98156658321619,10.217000000000013,0.16724245644011343,49.10254051192661,49.81555462783125,0.7130141159046346,-25.184445372168753,0.33576437510549795,usable
AUTO02,target_75_from_open,closing_from_open,75.0,133.4385665832162,139.4565665832162,6.018000000000001,99.96110244249122,68.22286850766277,67.67232199791455,-0.5505465097482158,-7.327678002085449,0.17342441683635457,usable
AUTO02,target_50_from_open,closing_from_open,50.0,149.9935665832162,160.39656658321618,10.402999999999992,99.84878358412507,42.23775402936022,41.84214381215447,-0.39561021720574985,-8.157856187845532,0.1908637919463274,usable
AUTO04,target_25_from_closed,opening_from_closed,25.0,21.282942375168204,27.0319423751682,5.748999999999995,0.004880677799073491,35.367593896316826,37.091487958454366,1.7238940621375392,12.091487958454366,0.31457624987140775,usable
AUTO04,target_50_from_closed,opening_from_closed,50.0,41.1269423751682,49.33794237516821,8.211000000000013,0.0509301333283078,36.31219580928434,37.088163442646135,0.7759676333617946,-12.911836557353865,0.27381645811721,usable
AUTO04,target_75_from_closed,opening_from_closed,75.0,63.20094237516821,73.6029423751682,10.401999999999987,0.05932882836964675,49.9339335151744,50.991180342817465,1.0572468276430627,-24.008819657182535,0.253379041161395,usable
AUTO04,target_75_from_open,closing_from_open,75.0,111.50794237516823,117.76494237516823,6.257000000000005,99.98743755592808,67.33938232544845,66.57587618896979,-0.7635061364786679,-8.424123811030213,0.2544877080544552,usable
AUTO04,target_50_from_open,closing_from_open,50.0,128.5759423751682,139.0189423751682,10.442999999999984,99.962459609077,42.80770176893023,42.202247503080734,-0.6054542658494952,-7.797752496919266,0.24666783310101437,usable
AUTO04,target_25_from_open,closing_from_open,25.0,153.38494237516824,168.26494237516823,14.879999999999995,99.92498420535411,18.650560744072255,18.37139726839126,-0.27916347568099553,-6.628602731608741,0.11307275000211803,usable
