segment,position_percent,time_after_command_s,sample_position_percent
target_75_from_open,99,0.5521729018603736,98.95200081952487
target_75_from_open,90,2.3521303293129137,89.19264852010194
target_75_from_open,75,4.952068835633284,74.70899937320333
target_50_from_open,99,0.6837660975181734,98.48166203266837
target_50_from_open,90,2.283728255253749,89.52687912923012
target_50_from_open,75,5.083662031291084,73.973030264001
target_50_from_open,50,9.28356269534703,49.29113122235967
target_25_from_open,99,0.6741795424200632,98.6492767228669
target_25_from_open,90,2.2741417001556385,89.62335331157715
target_25_from_open,75,5.074075476192945,74.17348526256585
target_25_from_open,50,9.27397614024892,49.465978895051215
target_25_from_open,25,13.673872074021858,24.806106804295375
