label,target_percent,measured_percent,error_pp,run_elapsed_s
target_25_from_closed,25.0,37.091487958454366,12.091487958454366,27.346518625039607
target_50_from_closed,50.0,37.088163442646135,-12.911836557353865,49.61175883328542
target_75_from_closed,75.0,50.991180342817465,-24.008819657182535,73.85632141632959
target_75_from_open,75.0,66.57587618896979,-8.424123811030213,118.01943008322269
target_50_from_open,50.0,42.202247503080734,-7.797752496919266,139.2656102082692
target_25_from_open,25.0,18.37139726839126,-6.628602731608741,168.37801512517035
